Serial,Order,EndOfPourTimeStamp,Line,Blend,SmartPartNumber
22696460,H001108702-1,1/18/2024 23:44,2,29,T21LK-61NN-7V-1400NL-01CAR-NBN
22704789,H001108709-1,1/22/2024 4:53,2,29,B24LS-71NV-7V-0902NS-NNNNN-NXN
22704791,H001108709-1,1/19/2024 8:20,2,29,I21LS-71NV-7V-0902NS-NNNNN-NXN
22704798,H001108709-2,1/22/2024 5:01,2,29,I24LS-71NV-7V-0602NS-NNNNN-NXN
22704800,H001108709-2,1/22/2024 5:04,2,29,I24LS-71NV-7V-0602NS-NNNNN-NXN
22704807,H001108709-2,1/22/2024 5:04,2,29,T24LS-71NV-7V-0602NS-NNNNN-NXN
22704809,H001108709-2,1/22/2024 5:09,2,29,T24LS-71NV-7V-0602NS-NNNNN-NXN
22704814,H001108709-3,1/22/2024 4:56,2,29,I24LS-71NV-7V-0602NS-NNNNN-NXN
22704816,H001108709-3,1/22/2024 4:57,2,29,T24LS-71NV-7V-0602NS-NNNNN-NXN
22779043,H001108714-1,2/5/2024 0:47,1,29,T21LG-61NN-7V-1800NK-01CAR-N5N
22779045,H001108714-2,2/4/2024 23:19,2,29,I24LW-61SS-7V-0800NS-NNNNN-NXN
22779052,H001108714-4,2/5/2024 4:09,1,29,B21LW-61GN-7V-1600NS-NNNNN-NXL
22779054,H001108714-4,2/5/2024 11:08,1,29,I18LW-61GN-7V-1600NS-NNNNN-NXN
22811033,H001108714-4,2/5/2024 16:07,1,29,T21LW-61NN-7V-1600NL-04CAR-D5A
22779059,H001108714-5,2/5/2024 11:09,1,29,I18LW-61GN-7V-0900NS-NNNNN-NXN
22779061,H001108714-5,2/1/2024 15:08,2,29,T21LW-61NN-7V-0900NL-02CAR-D5N
22779063,H001108714-6,2/5/2024 4:07,1,29,I21LW-61GN-7V-1600NS-NNNNN-NXN
22779068,H001108714-7,2/5/2024 8:24,2,29,B24LD-61SS-7V-0902NS-NNNNN-NXL
22779070,H001108714-7,2/5/2024 8:22,2,29,I24LD-61SS-7V-0902NS-NNNNN-NXN
22779077,H001108714-7,2/5/2024 8:25,2,29,I24LD-61SS-7V-0902NS-NNNNN-NXN
22779079,H001108714-7,2/5/2024 8:23,2,29,T24LD-61SS-7V-0902NS-NNNNN-NXN
22744933,H001108715-1,1/29/2024 0:50,1,29,I21LK-61PS-7V-1600NS-NNNNN-NXN
22736070,H001108718-2,1/24/2024 23:00,1,33,B24HN-T1NN-7V-0900NL-NNNNN-NXN
22678276,H001108719-1,1/16/2024 3:29,2,29,B24LB-61SS-7V-1000NS-NNNNN-NXL
22678278,H001108719-1,1/16/2024 3:23,2,29,I24LB-61SS-7V-1000NS-NNNNN-NXN
22678283,H001108719-1,1/16/2024 3:27,2,29,I24LB-61SS-7V-1000NS-NNNNN-NXN
22678285,H001108719-1,1/16/2024 3:21,2,29,I24LB-61SS-7V-1000NS-NNNNN-NXN
22678292,H001108719-1,1/16/2024 3:33,2,29,T24LB-61SS-7V-1000NA-NNNNN-NXT
22768699,H001108727-1,1/31/2024 20:32,2,29,I24LS-61SS-7V-1202NS-NNNNN-NXN
22768701,H001108727-1,1/31/2024 20:32,2,29,I24LS-61SS-7V-1202NS-NNNNN-NXN
22719281,H001108729-1,1/23/2024 11:22,1,29,I21LW-61BN-7V-1600NS-NNNNN-NXN
22743447,H001108731-1,1/26/2024 10:37,1,29,B24LS-71CN-7V-0710NS-NNNNN-NXN
22711634,H001108734-2,1/22/2024 21:33,1,29,I18LW-61GN-7V-1800SS-NNNNN-NXN
22711636,H001108734-2,1/22/2024 21:33,1,29,I18LW-61GN-7V-1800SS-NNNNN-NXN
22746757,H001108734-2,1/23/2024 19:02,1,29,I18LW-61GN-7V-1800SS-NNNNN-NXN
22711625,H001108735-2,1/22/2024 6:26,1,29,I24LW-61BN-7V-1600SS-NNNNN-NXN
22711627,H001108735-2,1/22/2024 6:27,1,29,T24LW-61BN-7V-1600SS-NNNNN-NXN
22744115,H001108738-1,1/26/2024 11:27,1,29,B24LW-61HN-7V-1202NS-NNNNN-NXL
22744117,H001108738-1,1/26/2024 11:36,1,29,I24LW-61HN-7V-1202NS-NNNNN-NXN
22744122,H001108738-1,1/26/2024 11:30,1,29,I24LW-61HN-7V-1202NS-NNNNN-NXN
22744124,H001108738-1,1/26/2024 11:30,1,29,I24LW-61HN-7V-1202NS-NNNNN-NXN
22743063,H001108739-1,1/26/2024 11:18,1,29,I24LW-61HN-7V-1800NS-NNNNN-NXN
22744381,H001108741-1,1/26/2024 11:17,1,29,I24LW-61HN-7V-1800NS-NNNNN-NXN
22744383,H001108741-1,1/26/2024 14:19,2,29,T24LW-61NN-7V-1800NL-04CAR-D5A
22743322,H001108743-1,1/26/2024 11:14,1,29,I24LW-61HN-7V-1800NS-NNNNN-NXN
22744665,H001108746-1,1/29/2024 0:24,1,29,I21LD-61CN-7V-1600NS-NNNNN-NXN
22744667,H001108746-1,1/29/2024 0:26,1,29,T21LD-61CN-7V-1600NS-NNNNN-NXN
13958256,H000649253-1,2/7/2024 21:28,1,29,Q24UK-61NV-7V-0800NL-01L11-N5L
13652943,H000631040-1,2/7/2024 21:30,1,29,B24UT-61NN-7V-0800NT-NNNNN-NXL
22696466,H001108701-1,1/18/2024 4:24,1,29,I24LD-61NV-7V-1000NS-NNNNN-NXN
22696468,H001108701-1,1/18/2024 4:23,1,29,I24LD-61NV-7V-1000NS-NNNNN-NXN
22696459,H001108702-1,1/18/2024 23:43,2,29,I21LK-61NN-7V-1400NL-01CAR-NBN
22704790,H001108709-1,1/19/2024 8:20,2,29,I21LS-71NV-7V-0902NS-NNNNN-NXN
22704792,H001108709-1,1/19/2024 8:21,2,29,I21LS-71NV-7V-0902NS-NNNNN-NXN
22704799,H001108709-2,1/22/2024 5:05,2,29,I24LS-71NV-7V-0602NS-NNNNN-NXN
22704801,H001108709-2,1/22/2024 5:09,2,29,I24LS-71NV-7V-0602NS-NNNNN-NXN
22704806,H001108709-2,1/22/2024 5:01,2,29,T24LS-71NV-7V-0602NS-NNNNN-NXN
22704808,H001108709-2,1/22/2024 5:09,2,29,T24LS-71NV-7V-0602NS-NNNNN-NXN
22704815,H001108709-3,1/22/2024 5:00,2,29,I24LS-71NV-7V-0602NS-NNNNN-NXN
22704817,H001108709-3,1/22/2024 5:01,2,29,T24LS-71NV-7V-0602NS-NNNNN-NXN
22779044,H001108714-2,2/4/2024 23:18,2,29,B24LW-61SS-7V-0800NS-NNNNN-NXL
22779046,H001108714-2,2/4/2024 23:18,2,29,I24LW-61SS-7V-0800NS-NNNNN-NXN
22779053,H001108714-4,2/5/2024 11:07,1,29,I18LW-61GN-7V-1600NS-NNNNN-NXN
22779060,H001108714-5,2/5/2024 11:11,1,29,I18LW-61GN-7V-0900NS-NNNNN-NXN
22779062,H001108714-6,2/5/2024 4:07,1,29,B21LW-61GN-7V-1600NS-NNNNN-NXL
22779069,H001108714-7,2/5/2024 8:19,2,29,I24LD-61SS-7V-0902NS-NNNNN-NXN
22779071,H001108714-7,2/5/2024 8:23,2,29,I24LD-61SS-7V-0902NS-NNNNN-NXN
22779076,H001108714-7,2/5/2024 8:22,2,29,I24LD-61SS-7V-0902NS-NNNNN-NXN
22779078,H001108714-7,2/5/2024 8:20,2,29,T24LD-61SS-7V-0902NS-NNNNN-NXN
22744934,H001108715-1,1/29/2024 4:20,2,29,T21LK-61RS-7V-1600NS-04RCH-P4N
22736780,H001108718-1,1/24/2024 22:54,1,33,B24HN-T1NN-7V-1600NJ-NNNNN-NXN
22678275,H001108719-1,1/16/2024 3:26,2,29,B24LB-61SS-7V-1000NS-NNNNN-NXL
22678277,H001108719-1,1/16/2024 3:20,2,29,I24LB-61SS-7V-1000NS-NNNNN-NXN
22678284,H001108719-1,1/16/2024 3:31,2,29,I24LB-61SS-7V-1000NS-NNNNN-NXN
22678286,H001108719-1,1/16/2024 3:24,2,29,I24LB-61SS-7V-1000NS-NNNNN-NXN
22768693,H001108727-1,1/31/2024 20:29,2,29,B24LS-61SS-7V-1202NS-NNNNN-NXL
22768698,H001108727-1,1/31/2024 20:35,2,29,I24LS-61SS-7V-1202NS-NNNNN-NXN
22768700,H001108727-1,1/31/2024 20:35,2,29,I24LS-61SS-7V-1202NS-NNNNN-NXN
22719280,H001108729-1,1/23/2024 0:38,1,29,B24LW-61BN-7V-1600NS-NNNNN-NXL
22719282,H001108729-1,1/23/2024 11:22,1,29,I21LW-61BN-7V-1600NS-NNNNN-NXN
22743448,H001108731-1,1/26/2024 10:44,1,29,I24LS-71CN-7V-0710NS-NNNNN-NXN
22743337,H001108731-2,1/26/2024 0:09,2,29,T24LS-71NN-7V-0710NL-02CAR-G4N
22711628,H001108734-1,1/22/2024 15:25,1,29,B21LW-61GN-7V-1000SS-NNNNN-NXL
22711633,H001108734-2,1/22/2024 15:05,1,29,B21LW-61GN-7V-1800SS-NNNNN-NXL
22711635,H001108734-2,1/22/2024 21:33,1,29,I18LW-61GN-7V-1800SS-NNNNN-NXN
22755028,H001108734-2,1/23/2024 19:45,1,29,I18LW-61GN-7V-1800SS-NNNNN-NXN
22711626,H001108735-2,1/22/2024 6:27,1,29,I24LW-61BN-7V-1600SS-NNNNN-NXN
22744116,H001108738-1,1/26/2024 11:29,1,29,B24LW-61HN-7V-1202NS-NNNNN-NXL
22744123,H001108738-1,1/26/2024 11:35,1,29,I24LW-61HN-7V-1202NS-NNNNN-NXN
22744125,H001108738-1,1/26/2024 11:29,1,29,I24LW-61HN-7V-1202NS-NNNNN-NXN
22743657,H001108738-2,1/26/2024 11:19,1,29,B24LW-61HN-7V-1600NS-NNNNN-NXL
22743062,H001108739-1,1/26/2024 11:16,1,29,B24LW-61HN-7V-1800NS-NNNNN-NXL
22743064,H001108739-1,1/26/2024 11:18,1,29,I24LW-61HN-7V-1800NS-NNNNN-NXN
22775450,H001108739-1,1/26/2024 12:43,1,29,B24LW-61HN-7V-1800NS-NNNNN-NXL
22744382,H001108741-1,1/26/2024 11:16,1,29,I24LW-61HN-7V-1800NS-NNNNN-NXN
22745404,H001108742-1,1/26/2024 11:13,1,29,B24LW-61HN-7V-1800NS-NNNNN-NXL
22742676,H001108742-2,1/26/2024 13:47,2,29,T24LW-61NN-7V-0900NL-02CAR-H5N
22743321,H001108743-1,1/26/2024 11:13,1,29,B24LW-61HN-7V-1800NS-NNNNN-NXL
22743323,H001108743-1,1/26/2024 11:14,1,29,I24LW-61HN-7V-1800NS-NNNNN-NXN
22744666,H001108746-1,1/29/2024 0:26,1,29,I21LD-61CN-7V-1600NS-NNNNN-NXN
22745405,H001108742-1,1/26/2024 11:15,1,29,I24LW-61HN-7V-1800NS-NNNNN-NXN
22745406,H001108742-1,1/26/2024 11:15,1,29,I24LW-61HN-7V-1800NS-NNNNN-NXN
22745407,H001108742-1,1/26/2024 14:19,2,29,T24LW-61NN-7V-1800NL-04CAR-H5A
22696655,H001108745-1,1/18/2024 21:33,2,29,B21LW-61RS-7V-1600NS-NNNNN-NXL
22696656,H001108745-1,1/18/2024 21:33,2,29,I21LW-61RS-7V-1600NS-NNNNN-NXN
22696657,H001108745-1,1/18/2024 21:34,2,29,I21LW-61RS-7V-1600NS-NNNNN-NXN
22696658,H001108745-1,1/18/2024 21:35,2,29,T21LW-61RS-7V-1600NS-NNNNN-NXN
22696671,H001108747-1,1/18/2024 4:12,2,29,B24LB-71SS-7V-1000NS-NNNNN-NXL
22696672,H001108747-1,1/18/2024 4:13,2,29,I24LB-71SS-7V-1000NS-NNNNN-NXN
22696673,H001108747-1,1/18/2024 4:14,2,29,I24LB-71SS-7V-1000NS-NNNNN-NXN
22696674,H001108747-1,1/18/2024 4:14,2,29,I24LB-71SS-7V-1000NS-NNNNN-NXN
22704142,H001108752-1,1/21/2024 20:54,1,29,B21LW-61GN-7V-1800NS-NNNNN-NXL
22738303,H001108752-1,1/22/2024 15:00,1,29,B21LW-61GN-7V-1800NS-NNNNN-NXL
22736146,H001108754-1,1/25/2024 22:47,1,29,I21LW-71GN-7V-0900NS-NNNNN-NXN
22736147,H001108754-1,1/25/2024 1:22,2,29,T21LW-71NN-7V-0900NL-02CAR-D4N
22736148,H001108754-1,1/25/2024 1:21,2,29,T21LW-71NN-7V-0900NL-02CAR-D4N
22689635,H001108759-1,1/17/2024 22:11,1,29,I21LW-61GN-7V-0800NS-NNNNN-NXN
22689636,H001108759-1,1/17/2024 22:10,1,29,I21LW-61GN-7V-0800NS-NNNNN-NXN
22689637,H001108759-1,1/17/2024 22:11,1,29,I21LW-61GN-7V-0800NS-NNNNN-NXN
22689638,H001108759-1,1/17/2024 22:11,1,29,I21LW-61GN-7V-0800NS-NNNNN-NXN
22696708,H001108761-1,1/18/2024 15:06,2,29,B24LK-61NN-7V-0900NL-01CAR-NBL
22689502,H001108763-1,1/17/2024 15:26,2,29,I24LW-61NV-7V-1800ND-NNNNN-NXN
22689503,H001108763-1,1/17/2024 15:29,2,29,I24LW-61NV-7V-1800ND-NNNNN-NXN
22689504,H001108763-1,1/17/2024 15:26,2,29,I24LW-61NV-7V-1800ND-04TLL-NFN
22689505,H001108763-1,1/17/2024 15:29,2,29,I24LW-61NV-7V-1800ND-04TLL-NFN
22718999,H001108764-1,1/23/2024 15:52,1,29,I18LR-61GN-7V-1000NS-NNNNN-NXN
22719000,H001108764-1,1/23/2024 15:53,1,29,I18LR-61GN-7V-1000NS-NNNNN-NXN
22719001,H001108764-1,1/23/2024 15:53,1,29,I18LR-61GN-7V-1000NS-NNNNN-NXN
22719002,H001108764-1,1/23/2024 6:57,1,29,I21LR-61GN-7V-1000NS-NNNNN-NXN
22696721,H001108765-1,1/18/2024 13:21,2,29,I24LK-71NN-7V-1000NL-01CAR-NBN
22696722,H001108765-1,1/18/2024 13:24,2,29,I24LK-71NN-7V-1000NL-01CAR-NBN
22696723,H001108765-1,1/18/2024 13:22,2,29,I24LK-71NN-7V-1000NL-01CAR-NBN
22696724,H001108765-1,1/18/2024 13:25,2,29,I24LK-71NN-7V-1000NL-01CAR-NBN
22729881,H001108765-1,1/19/2024 7:04,1,29,B24LK-71NN-7V-1000NL-NNNNN-NXL
22729882,H001108765-2,1/19/2024 7:03,1,29,T24LK-71NN-7V-1000NL-NNNNN-NXN
22696738,H001108766-1,1/18/2024 7:15,2,29,I24LW-61NV-7V-1408NS-NNNNN-NXN
22696739,H001108766-1,1/18/2024 20:25,2,29,I21LW-61NV-7V-1408NS-NNNNN-NXN
22696740,H001108766-1,1/18/2024 20:26,2,29,I21LW-61NV-7V-1408NS-NNNNN-NXN
22696741,H001108766-1,1/18/2024 7:16,2,29,T24LW-61NV-7V-1408NS-NNNNN-NXN
22735062,H001108768-2,1/25/2024 15:56,2,33,B24HW-T1NV-7V-1402NS-NNNNN-NXL
22653018,H001108772-1,1/11/2024 6:42,2,29,T21LW-71NB-7V-0800NF-02CAR-D4N
22696688,H001108773-1,1/18/2024 12:55,2,29,B24LK-71NN-7V-1600NS-NNNNN-NXL
22696689,H001108773-1,1/18/2024 12:56,2,29,I24LK-71NN-7V-1600NS-NNNNN-NXN
22696690,H001108773-1,1/18/2024 12:57,2,29,I24LK-71NN-7V-1600NS-NNNNN-NXN
22696691,H001108773-1,1/18/2024 12:59,2,29,T24LK-71NN-7V-1600NS-NNNNN-NXN
22696705,H001108778-1,1/18/2024 19:03,2,29,I21LD-61RS-7V-0800NS-NNNNN-NXN
22696706,H001108778-1,1/18/2024 15:58,2,29,T21LD-61RS-7V-0800NS-02RCH-PBN
22696707,H001108778-1,1/18/2024 19:03,2,29,T21LD-61RS-7V-0800NS-02RCH-PBN
22767482,H001108780-1,1/31/2024 14:05,2,29,I24LW-61NV-7V-1202SS-NNNNN-NXN
22767483,H001108780-1,1/31/2024 14:10,2,29,I24LW-61NV-7V-1202SS-NNNNN-NXN
